"ID","Product Reference","Name*","UOM*","Product Category ID*","Product Category Name","Product Type","Sale Price","Purchase Price","Cost Price","Discount Price","Start Date","End Date","Description","Arabic Name","Quantity","Terminal ","Secondary / Default Unit","Secondary / Default Unit Qty","Brand","Product Group","Supplier Name","Active"
"'1747486038604","","croissant Turkey","EA","10003744","Appetizers","Item","120","0","","0","","","","","-3","Kitchen","-","0","","","","Yes"
"'1747486125441","","Croissant Zaator","EA","10003744","Appetizers","Item","96","0","","0","","","","","-1","Kitchen","-","0","","","","Yes"
"'1747486233505","","Croissant Chocolate","EA","10003744","Appetizers","Item","96","0","","0","","","","","-2","Kitchen","-","0","","","","Yes"
"'1747486413831","","Spniach Pie","EA","10003744","Appetizers","Item","120","0","","0","","","","","-6","Kitchen","-","0","","","","Yes"
"'1747486484511","","Mushroom Pie","EA","10003744","Appetizers","Item","130","0.1","0.1","0","","","","","-17","Kitchen","-","0","","","","Yes"
"'1747486558485","","Eggs Cheese","EA","10003744","Appetizers","Item","120","0","","0","","","","","-1","Kitchen","-","0","","","","Yes"
"'1747488719831","","croissant halloumi","EA","10003744","Appetizers","Item","120","0","","0","","","","","-1","Kitchen","-","0","","","","Yes"
"'1747488862373","","Tuna puff pastry","EA","10003744","Appetizers","Item","96","0","","0","2025-09-20 00:00:00","2025-09-20 00:00:00","","","-1","Kitchen","-","0","","","","Yes"
"'1747489368246","","Tahini","EA","10003744","Appetizers","Item","60","0","","0","","","","","-2","Kitchen","-","0","","","","Yes"
"'1747489473029","","Bakleh Salad","EA","Salads","Salads","Item","120","0","","0","","","","","-1","Kitchen","-","0","","","","Yes"
"'1747564393602","","Chich Barak 80 Pcs","EA","Sandwiches","Sandwiches","Item","100","0.1","0.1","0","","","","","-16","Kitchen","-","0","","","","Yes"
"'1747913131109","","Steak Veg","EA","10003744","Appetizers","Item","320","0","","0","","","","","-5.5","Kitchen","-","0","","","","Yes"
"'1747913228464","","Tacos Plate","EA","10003744","Appetizers","Item","180","0","","0","","","","","-1","Kitchen","-","0","","","","Yes"
"'1747913311418","","Pilaf Rice","EA","10003744","Appetizers","Item","170","0","","0","","","","","-1","Kitchen","-","0","","","","Yes"
"'1747913368697","","Lazy Cake","EA","10003744","Appetizers","Item","100","0","","0","","","","","-4","Kitchen","-","0","","","","Yes"
"'1747916010407","","EggPlant","EA","10003744","Appetizers","Item","180","0","","0","","","","","-2","Kitchen","-","0","","","","Yes"
"'1747916257623","","Machewi Mix","EA","10003744","Appetizers","Item","185","0","","0","","","","","-7","Kitchen","-","0","","","","Yes"
"'1747916384296","","Kebbeh 6 pcs","EA","Hot Mezze","Hot Mezze","Item","24","0","","0","","","","","-7","Kitchen","-","0","","","","Yes"
"'1748071684324","","Caterart Fetta Salad","Each","Salads","Salads","Item","220","0.1","0.1","0","","","","","-7","Kitchen","-","0","","","","Yes"
"'1748071732792","","Shrimp Provencial","Each","10004075","Main Dish","Item","160","0.1","0.1","0","","","","","-3","Kitchen","-","0","","","","Yes"
"'1748071783700","","Gigot with Vegetables","Each","10004075","Main Dish","Item","500","0.1","0.1","0","","","","","-14","Kitchen","-","0","","","","Yes"
"'1748086506876","","Lazagna","Each","10004075","Main Dish","Item","120","0.1","0.1","0","","","","","-9","Kitchen","-","0","","","","Yes"
"'1748086582275","","Spinach Pie","Each","10004075","Main Dish","Item","120","0.1","0.1","0","","","","","-31","Kitchen","-","0","","","","Yes"
"'1748261203105","","Sawarma Chicken 12 Pcs","Each","10004075","Main Dish","Item","48","0.1","0.1","0","","","","","-3","Kitchen","-","0","","","","Yes"
