Document no,Date Ordered,Supplier,Product,UOM,Unit Price,Qty Ordered,Line Amt,Discount,Document Status
800132,2025-09-04 12:17:17,Fahed Foods w.l.l.,FRZ EG Cut Beans 2.5x4kg Hi-Chef_18017,Each,43,2,86,0,Completed
800132,2025-09-04 12:17:17,Fahed Foods w.l.l.,Frz EG Okra Zero 20gx400 Hi-Chef_18038,Each,83,1,83,0,Completed
800132,2025-09-04 12:17:17,Fahed Foods w.l.l.,Shrimp Frozen 11/15 1 Kg_18028,Each,28,10,280,0,Completed
800133,2025-09-04 12:25:19,BRF,Sadia Hot Dog small size 20x340gr_16007,Each,74,2,148,0,Completed
800133,2025-09-04 12:25:19,BRF,Sadia Whole Chicken 1100 Gms - 10 Pcs/Ctn_16009,Each,99,3,297,0,Completed
800134,2025-09-04 12:28:48,Tredos Trading,Breaded Chicken Nuggets 6x1KG_309,Each,90,1,90,0,Completed
800134,2025-09-04 12:28:48,Tredos Trading,Chicken Strips Regular 6x1KG_16003,Each,140,1,140,0,Completed
800134,2025-09-04 12:28:48,Tredos Trading,Wabel Kaskawal Shredded Mozarells 6x2Kg_18020,Each,300,2,600,0,Completed
800134,2025-09-04 12:28:48,Tredos Trading,Whole Peeled Tomatoes 6x2.5KG_21015,Each,90,4,360,0,Completed
800135,2025-09-04 13:03:55,Bluefin,Topside Chilled South Africa_15009,KG,32,20,640,0,Completed
800135,2025-09-04 13:03:55,Bluefin,Topside Chilled South Africa_15009,KG,32,20,640,0,Completed
800136,2025-09-07 09:19:16,Packon Trading,Cling Film 6pcs_12051,Each,77,2,154,0,Completed
800136,2025-09-07 09:19:16,Packon Trading,Plastic Bowl 4OZ - 2000pcs_12024,Each,149,1,149,0,Completed
800137,2025-09-08 15:46:39,Packon Trading,Black Rect Container RE 32 Pack On 150pcs/ctn_12042,Each,63,2,126,0,Completed
800137,2025-09-08 15:46:39,Packon Trading,Black Base 2 compartement RE 2/32 - 150pcs/Ctn_12067,Each,103,2,206,0,Completed
800138,2025-09-08 18:05:49,Al Majed Marketing & Distribution,Masoor Dal 15Kg_17007,Each,58,3,174,0,Completed
800138,2025-09-08 18:05:49,Al Majed Marketing & Distribution,Palm Oil 18 Ltr_21001,Each,80,3,240,0,Completed
800139,2025-09-08 18:14:04,Fahed Foods w.l.l.,FZ EG Strawberry 1kgx8 Vegie-Tut_18009,Each,60,2,120,0,Completed
800139,2025-09-08 18:14:04,Fahed Foods w.l.l.,FZ EG Mango SlicesFahed Food 1Kgx8 / Box_18008,Each,69,2,138,0,Completed
800139,2025-09-08 18:14:04,Fahed Foods w.l.l.,Chicken Breast Aurora 2kgx6_16012,Each,168,4,672,0,Completed
800139,2025-09-08 18:14:04,Fahed Foods w.l.l.,"French Fries 9x9mm, Skin off 4x2.5Kgs_18021",Each,65,1,65,0,Completed
800140,2025-09-08 18:31:08,Valencia International Trading Company w.l.l.,Milk Powder - SLG 25 Kgs_17040,Each,290,1,290,0,Completed
800140,2025-09-08 18:31:08,Valencia International Trading Company w.l.l.,Unsalted Butter 82% Beurre Doux 10x1Kg - France_13015,Each,495,1,495,0,Completed
800140,2025-09-08 18:31:08,Valencia International Trading Company w.l.l.,Croissant Butter 82% Le Grand Tourage 10x1Kg_19004,Each,575,1,575,0,Completed
800141,2025-09-08 19:00:55,Benina Food,Benina - Parmesan Grana Moravia Cheese 5 Kg_13001,Each,250,1,250,0,Completed
800142,2025-09-10 11:31:28,Bluefin,Topside Chilled South Africa_15009,KG,32,40,1280,0,Completed
800143,2025-09-10 14:50:36,Al Majed Marketing & Distribution,Sugar Renuka 50Kgs_17034,Each,108,1,108,0,Completed
800143,2025-09-10 14:50:36,Al Majed Marketing & Distribution,Fresh Eggs Grade A -_21010,Each,145,2,290,0,Completed
